,MLP,RF,DT,SV,KN
2,0.847928502402526,0.6749747907487021,0.9005383851177291,0.7689081817213055,0.8295437447511005
3,0.8113235444645989,0.652104036261958,0.8392128898050308,0.7486073974749544,0.799453988748819
5,0.8124925610447693,0.6305923988064963,0.8275948166169735,0.7302465255071212,0.7841131817329609
10,0.831938903045641,0.6118341071077692,0.8396986967343132,0.7260362495519332,0.765824863810186
