,MLP,RF,DT,SV,KN
2,0.677287801942697,0.7397384105726619,0.6717492935063608,0.667143785643536,0.650710708773778
3,0.7124413883144811,0.7301064661402293,0.687778995718919,0.691160172684279,0.6625392085639207
5,0.7396619364480901,0.773755837881206,0.7095554523066582,0.7254632465548487,0.664759871821949
10,0.7485908366995323,0.7864715139932531,0.7402002224828312,0.7280973929452189,0.6714011761185674
