,0
mlp,"(0.9330635070800781, 0.47869250178337097)"
rf,"(0.9594246745109558, 0.7792929410934448)"
dt,"(0.9277899265289307, 0.42650970816612244)"
sv,"(0.9128881692886353, 0.3014249801635742)"
kn,"(0.9570440053939819, 0.7517141699790955)"
