,MLP,RF,DT,SV,KN
2,0.7005403927533704,0.6990871210246795,0.6260976441603758,0.6734880219717676,0.6012199371619572
3,0.7010392678022219,0.7228527529985017,0.6604244945533341,0.702237389603126,0.6676199665457077
5,0.7572453409474686,0.756797841638267,0.6916678179976051,0.7465809462405207,0.684167219305517
10,0.7740869565217391,0.7755652173913045,0.6522391304347825,0.7628260869565218,0.6747536231884058
