,MLP,RF,DT,SV,KN
2,0.8158709669364588,0.7193869900702239,0.9309992077879378,0.7929540923203895,0.8497916532699894
3,0.8279653315800388,0.6917631915931439,0.9072135517427545,0.7592252711887989,0.8137711519436057
5,0.742416565831795,0.652558888573006,0.8978909505094915,0.7218820751605407,0.7738443314898944
10,0.7375208256258742,0.6324888284935624,0.8964721939231864,0.7166165664141436,0.7542402713500509
